10 25 1.95, 14 41 11.56, 12 40 6.09, 9 93 1.16, 11 16 7.44, 11 23 3.83, 5 27 1.54, ,,,,,,,,,,,,,,,,,,,,,,,,
10 59 9.5, 10 38 9.66, 10 41 7.69, 10 38 2.84, 10 44 3.65, 10 34 3.53, 14 30 12.86, 7 14 7.96, 15 23 1.88, 15 26 2.14, 8 67 4.37, 6 34 1.34, 6 14 1.38, 8 45 2.41, 8 52 3.68, 8 75 0.2, 8 47 2.23, 8 57 6.55, 6 32 2.09, 17 23 6.31, 17 26 12.09, 5 13 6.32, 3 53 4.69, 3 19 2.47, ,,,,,,,
8 57 2.63, 6 25 2.32, 6 23 1.76, 6 34 0.95, 4 73 0.99, 4 40 4.45, 4 60 7.01, 16 25 3.96, 16 53 1.18, 9 27 1.17, 9 23 0.51, 2 57 5.69, 2 83 7.17, 11 28 7.31, ,,,,,,,,,,,,,,,,,
10 27 0.73, 10 18 9.57, 10 39 3.38, 10 50 4.06, 18 58 5.55, 18 54 7.95, 7 8 4.16, 18 35 0.44, 1 29 1.65, 1 48 0.12, 1 32 0.74, 7 12 0.76, 13 50 1.92, 15 22 1.59, 8 43 3.98, 8 52 4.84, 6 27 1.47, 6 27 1.1, 6 33 1.52, 6 17 0.85, 17 20 6.19, 4 51 2.86, 16 35 6.06, 16 34 4.76, 2 63 15.87, 11 20 13.07, 3 43 5.22, 3 39 0.94, 3 41 7.13, 3 45 1.67, 3 39 2.44, 
14 26 2.62, 12 47 2.78, 12 49 1.58, 1 82 2.22, 1 47 2.78, 1 79 1.38, 1 79 2.61, 7 39 2.7, 7 39 0.98, 13 65 1.33, 13 37 1.08, 13 61 0.59, 4 45 1.86, 16 33 1.32, 9 108 10.41, 9 89 8.29, 9 110 2.19, 9 108 8.07, 9 99 9.1, 2 58 2.21, 11 32 1.26, 11 24 0.48, ,,,,,,,,,
10 41 5.07, 10 29 7.12, 10 34 4.77, 10 28 8.14, 10 45 2.95, 10 30 4.72, 10 37 2.08, 14 29 10.08, 18 67 7.08, 18 59 7.51, 12 30 5.06, 1 28 0.83, 1 15 1.27, 1 29 0.31, 13 53 0.33, 13 36 0.62, 13 31 4.76, 13 62 0.47, 8 70 3.21, 8 49 5.8, 6 29 2.35, 6 30 1.51, 17 19 4.45, 17 15 1.76, 9 25 0.6, 2 108 9.08, 11 26 2.08, 11 25 1.48, 5 11 2.56, 5 10 2.34, 5 11 2.15, 5 8 5.08
10 32 0.47, 10 39 1.84, 10 26 1.66, 10 40 1.4, 14 34 4.71, 18 50 0.36, 18 68 1.38, 18 63 0.94, 18 66 0.3, 18 73 1.36, 13 44 0.52, 15 51 1.36, 15 48 2.61, 15 35 4.14, 17 32 0.66, 17 21 1.55, 4 43 1.41, 4 55 2.01, 4 50 2.96, 2 57 4.46, 2 15 2.91, 2 74 4.96, 2 45 1.1, 11 12 1.76, 3 22 0.92, 3 32 7.21, 3 40 5.4, 3 50 4.94, ,,,
10 40 4.55, 14 48 1.53, 18 61 4.37, 7 37 6.6, 13 44 1.41, 13 47 2.07, 14 47 7.03, 12 42 4.96, 1 76 1.36, 1 49 0.94, 1 104 1.39, 1 85 0.35, 7 38 10.42, 12 47 3.61, 12 25 9.14, 12 47 7.06, 12 78 7.1, 1 62 1.42, 7 36 4.44, 7 37 3.08, 7 60 4.35, 13 52 2.76, 13 57 2.17, 6 79 0.65, 6 81 0.92, ,,,,,,
10 20 8.16, 10 39 2.19, 15 34 1.96, 15 56 3.1, 6 58 1.53, 6 41 0.19, 17 32 1.2, 4 73 3.71, 16 31 3.05, 2 44 7.3, 5 33 0.89, 3 22 5.39, ,,,,,,,,,,,,,,,,,,,
10 46 1.54, 14 44 5.26, 14 51 2.96, 18 55 1.97, 18 73 1.37, 18 65 2.29, 1 90 1.79, 7 45 2.42, 15 27 6.74, 15 56 2.48, 6 44 0.52, 6 70 0.33, 17 26 2.04, 17 25 1.21, 17 29 1.72, 17 39 1.37, 17 29 1.74, 17 38 1.44, 4 56 2.45, 16 46 0.97, 9 119 8.64, 9 123 2.32, 9 110 4.74, 2 59 1.0, 5 35 0.78, 3 34 5.01, 4 67 1.67, 4 60 0.98, 4 38 1.06, 4 60 1.59, 4 50 2.02, 4 67 2.47
10 48 6.87, 14 22 11.46, 14 26 2.91, 12 55 3.83, 12 36 8.14, 9 33 1.06, 2 45 9.54, 2 54 5.64, ,,,,,,,,,,,,,,,,,,,,,,,
10 43 0.09, 10 29 1.63, 10 51 0.47, 10 42 1.28, 10 39 1.32, 10 42 0.71, 10 42 1.47, 10 31 1.81, 14 28 2.49, 14 36 5.03, 12 42 3.18, 12 35 3.32, 12 39 6.41, 1 36 3.43, 13 53 1.36, 13 39 0.5, 15 24 0.97, 15 15 3.75, 15 16 1.71, 15 22 0.96, 8 46 1.12, 8 88 1.0, 8 48 0.4, 16 30 0.41, 2 79 6.35, 11 33 2.08, 11 23 2.0, 3 57 2.58, ,,,
 17 37 1.27, 17 30 0.83, 17 14 2.02, 9 22 8.4, 9 26 7.71, 2 54 2.87, 5 12 1.46, 5 13 3.69, 3 44 2.46, ,,,,,,,,,,,,,,,,,,,,,,
10 36 7.07, 10 22 2.68, 15 48 0.47, 17 31 2.05, 9 73 1.87, 11 12 2.71, 3 27 5.14, ,,,,,,,,,,,,,,,,,,,,,,,,
10 49 1.38, 10 48 1.39, 10 37 0.75, 10 36 1.09, 15 24 2.98, 15 25 4.53, 15 31 2.11, 15 17 5.79, 8 30 1.62, 6 26 0.71, 6 29 1.89, 16 26 1.27, 11 28 1.03, 5 13 2.49, ,,,,,,,,,,,,,,,,,
10 36 1.72, 14 22 4.37, 10 56 1.76, 10 49 1.15, 10 45 1.49, 14 15 3.05, 14 21 2.74, 12 29 3.09, 1 30 1.1, 1 41 4.18, 9 30 3.93, 11 37 1.21, ,,,,,,,,,,,,,,,,,,,
10 38 5.85, 10 22 1.26, 14 43 4.64, 18 54 6.01, 12 47 11.89, 12 61 2.08, 12 54 5.52, 12 53 3.86, 12 52 7.53, 1 50 1.24, 1 91 0.69, 1 81 1.03, 1 91 0.98, 18 32 6.45, 12 55 2.9, 1 80 1.05, 1 72 0.96, 1 66 1.39, 7 44 6.8, 13 59 1.98, 4 53 2.46, 4 66 5.1, 16 58 6.91, ,,,,,,,,
10 35 1.48, 10 5 1.47, 18 45 1.56, 1 84 1.85, 13 47 1.79, 6 65 0.26, 6 48 0.26, 17 39 0.77, 17 28 2.74, 4 52 0.3, 16 48 1.05, 16 49 0.82, 1 73 1.87, 1 79 3.33, 6 76 0.99, 6 56 1.79, 6 70 1.83, 17 34 0.78, 4 43 2.5, 9 102 1.08, 11 18 0.68, 2 82 2.51, 5 35 1.7, 3 30 3.36, 3 29 5.92, ,,,,,,
10 44 1.37, 14 25 2.2, 13 60 1.17, 15 27 2.08, 15 26 2.82, 8 46 1.28, 8 47 1.15, 8 65 1.09, 8 53 1.26, 6 22 0.92, 17 29 3.23, 3 35 3.56, ,,,,,,,,,,,,,,,,,,,
14 34 5.38, 12 52 3.16, 12 62 4.92, 12 36 4.19, 12 43 5.65, 12 64 3.13, 12 43 4.61, 12 48 7.04, 12 58 7.25, 12 52 3.3, 12 68 5.55, 12 43 5.91, 1 77 1.04, 1 37 0.99, 1 73 1.32, 7 26 2.19, 7 44 3.33, 13 34 2.8, 6 43 1.04, 6 62 1.13, ,,,,,,,,,,,
 17 27 4.35, 17 16 3.13, 4 70 3.83, 4 46 2.66, 4 56 2.35, 11 3 4.6, 5 22 3.88, ,,,,,,,,,,,,,,,,,,,,,,,,
14 43 19.8, 14 48 6.06, 12 47 7.64, 12 59 3.31, 1 63 1.03, 13 26 0.07, 7 29 8.25, 7 54 4.57, 13 50 2.7, 13 47 2.41, 6 53 2.05, 6 70 2.05, 6 38 1.33, 17 39 0.8, 4 47 0.46, 16 65 3.2, 16 40 7.4, 9 71 1.48, 9 112 1.03, 9 101 1.85, 9 91 1.67, 9 90 2.0, 9 80 1.41, 16 45 4.54, 9 69 1.12, 2 48 3.68, 11 10 4.14, ,,,,
14 63 2.2, 12 51 8.48, 12 58 1.85, 1 76 0.91, 7 44 2.77, 13 44 2.25, 13 45 2.36, 13 47 1.15, 13 48 1.77, 13 63 2.0, 13 52 1.84, 6 84 0.12, 4 44 1.91, 4 62 1.17, 16 55 4.06, 9 117 1.7, 9 113 1.32, 9 101 0.76, 2 54 8.62, 2 44 8.13, 2 55 2.55, 2 63 10.66, 2 39 6.15, 11 22 0.16, 11 17 3.25, ,,,,,,
14 47 9.28, 14 53 12.58, 14 42 3.23, 12 48 6.76, 12 42 5.63, 1 68 1.3, 7 42 9.72, 13 57 1.37, 6 65 1.1, ,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 9 4.06, 12 47 5.13, 12 48 11.4, 12 40 7.78, 12 31 3.69, 1 20 1.41, 1 34 0.84, 1 14 0.17, 1 24 1.73, 13 46 1.33, 15 27 2.56, 17 36 9.75, 17 24 6.58, 17 32 10.98, 17 36 2.86, 17 36 4.92, 4 52 5.48, 2 98 8.28, 3 42 4.92, ,,,,,,,,,,,,
18 68 0.57, 13 28 1.4, 13 46 1.6, 13 43 1.61, 15 49 2.4, 15 29 2.26, 15 53 4.04, 6 64 1.57, 17 19 1.38, 17 30 0.85, 17 21 2.44, 17 20 1.98, 2 71 1.92, 2 63 3.46, 5 33 0.55, 5 35 1.82, ,,,,,,,,,,,,,,,
10 49 0.07, 10 46 1.3, 10 51 0.92, 14 27 4.71, 12 44 8.46, 12 36 4.76, 18 57 1.37, 12 35 8.46, 12 38 2.46, 1 15 2.49, 4 85 2.5, 4 36 1.25, 15 25 3.16, 15 28 2.67, 17 22 1.01, 17 21 1.92, 17 17 1.76, 17 33 1.36, 17 40 2.4, 16 54 1.69, 2 76 5.71, ,,,,,,,,,,
15 24 2.53, 15 13 2.9, 15 19 2.72, 15 21 2.57, 17 21 7.86, 4 44 3.58, 16 41 2.71, 7 11 5.57, 13 51 1.69, 13 58 2.09, 15 20 1.12, 15 19 1.58, 15 24 3.03, 15 29 3.61, 13 57 1.85, 15 21 1.25, 8 31 8.64, 6 24 0.96, 17 31 4.92, 9 35 1.99, 11 18 2.7, ,,,,,,,,,,
10 45 0.71, 14 42 6.74, 12 47 1.41, 7 42 1.38, 13 82 0.64, 8 43 0.62, 8 36 1.21, 6 55 1.6, 4 55 1.93, 4 59 1.33, 4 57 1.55, 4 46 2.13, 4 46 2.16, 16 62 0.25, 16 36 1.89, 16 61 0.83, 16 79 1.24, 9 112 5.49, 9 125 4.12, 9 83 4.93, 9 57 6.0, 9 71 8.99, 2 60 2.7, ,,,,,,,,
10 35 12.63, 10 40 7.88, 10 24 5.83, 10 37 7.07, 10 38 4.09, 10 26 5.46, 6 47 0.99, 6 65 0.67, 8 39 4.5, 8 34 6.05, 6 81 0.12, 17 23 9.47, 17 26 4.11, 16 56 2.84, 16 49 4.89, 9 92 1.73, 5 29 4.05, 3 42 5.95, 3 47 4.98, 3 34 2.53, ,,,,,,,,,,,
14 20 2.97, 7 8 1.1, 7 12 1.73, 7 14 1.82, 13 44 1.28, 13 58 0.24, ,,,,,,,,,,,,,,,,,,,,,,,,,
10 42 3.19, 18 52 4.79, 18 63 2.07, 18 50 0.32, 1 28 1.24, 1 35 1.07, 1 29 0.78, 7 9 5.86, 7 4 3.38, 13 34 1.87, 13 25 1.95, 15 33 1.83, 15 18 2.1, 15 18 3.35, 15 21 1.44, 15 23 3.02, 15 27 2.26, 15 28 1.0, 17 17 1.41, 6 22 1.74, 6 36 2.22, 4 30 4.81, 9 23 2.31, 2 52 7.24, 2 80 9.85, 11 34 4.04, ,,,,,
10 45 4.63, 18 62 5.1, 18 62 3.29, 18 47 0.25, 18 74 6.49, 18 47 4.28, 18 53 2.31, 18 58 7.05, 18 52 4.66, 18 39 4.25, 18 58 6.99, 18 49 0.56, 18 20 5.9, 1 71 1.29, 1 88 1.12, 1 55 1.49, 16 55 8.26, 2 62 11.38, 2 65 1.81, 2 71 14.19, 11 22 2.93, 11 18 14.31, 2 62 18.06, 2 48 0.39, 2 48 8.18, 11 29 13.62, 3 31 4.56, 3 56 4.33, 17 29 5.81, 4 60 6.38, 4 47 5.48, 4 47 1.85
10 35 5.31, 10 41 6.31, 10 40 2.64, 1 26 1.44, 1 34 2.26, 7 8 8.03, 15 24 1.0, 15 28 5.23, 8 51 1.35, 6 24 0.77, 6 20 1.25, 17 24 5.27, 17 31 4.65, 17 23 10.22, 17 27 7.31, 17 33 5.56, 17 24 10.74, 17 17 4.71, 17 26 0.91, 4 46 2.29, 2 83 10.82, 2 8 8.71, 3 28 4.36, ,,,,,,,,
10 25 1.93, 14 39 6.42, 18 41 1.66, 18 11 0.86, 18 62 0.79, 12 46 2.65, 12 77 5.28, 16 90 1.12, 16 65 0.15, 13 33 0.99, 8 37 2.66, 8 43 1.3, 17 39 1.73, 3 48 1.67, ,,,,,,,,,,,,,,,,,
10 36 4.8, 14 32 9.88, 18 77 4.38, 18 41 3.2, 12 32 4.65, 12 43 2.02, 1 28 0.88, 5 13 3.69, 5 13 1.62, ,,,,,,,,,,,,,,,,,,,,,,
10 32 7.3, 18 54 5.1, 18 73 10.85, 5 24 1.35, 5 34 2.92, ,,,,,,,,,,,,,,,,,,,,,,,,,,
14 22 8.77, 14 27 15.66, 12 30 4.78, 12 51 6.6, 1 24 0.5, 1 36 1.16, 1 25 0.35, 9 19 1.15, 9 20 0.61, 9 27 2.34, 9 22 0.84, 9 22 3.36, 9 22 1.11, 9 17 1.26, 9 27 1.51, 9 23 0.23, 9 22 0.14, 9 21 2.65, 9 24 1.27, 9 28 1.03, 9 28 1.69, 9 18 1.73, 2 62 8.63, ,,,,,,,,
 17 23 4.56, 17 12 2.91, 17 26 8.54, 17 34 5.55, 4 57 6.1, 16 32 5.52, 2 86 14.03, 2 33 13.32, 2 43 11.5, 11 25 3.13, 5 40 5.79, 5 25 3.58, 5 35 5.45, 5 19 3.39, 3 45 3.41, ,,,,,,,,,,,,,,,,
14 46 5.15, 14 50 7.2, 12 55 5.15, 12 66 0.18, 1 66 0.63, 1 88 1.19, 7 26 2.78, 7 46 5.14, 1 89 1.59, 1 85 0.81, 9 123 1.52, 2 37 12.55, 2 63 9.28, ,,,,,,,,,,,,,,,,,,
10 42 6.61, 14 23 2.14, 14 32 10.02, 14 28 14.41, 14 39 11.63, 12 24 6.01, 15 22 2.04, 17 26 0.46, 17 24 6.08, 17 24 3.79, 17 37 6.04, 17 33 9.42, 17 27 6.49, 17 27 7.12, 17 21 4.4, 4 64 3.8, 16 44 7.31, 16 24 6.21, 11 37 6.87, 11 40 7.27, 5 11 3.33, 3 48 4.74, 5 12 3.44, 5 8 2.92, 3 31 3.11, 17 16 5.74, 17 23 0.22, 17 19 4.18, 17 39 3.27, 17 30 2.37, 4 64 1.83, 9 29 0.77
14 10 6.83, 12 35 7.32, 12 27 6.84, 12 44 6.92, 1 40 0.91, 13 45 2.23, 13 47 2.79, 13 41 2.15, 15 29 0.01, 8 42 1.52, 6 20 0.5, 6 27 0.43, 17 33 7.74, 9 19 1.58, 9 33 1.12, 11 24 7.64, 5 9 3.08, 5 10 2.18, 3 41 6.44, 5 13 3.72, 3 18 6.61, ,,,,,,,,,,
14 20 4.51, 7 8 3.28, 1 31 1.32, 7 7 6.06, 13 47 0.86, 13 48 0.68, 13 54 1.89, 13 57 1.69, 8 23 5.18, 6 17 1.47, 6 32 1.44, ,,,,,,,,,,,,,,,,,,,,
10 52 4.05, 10 27 3.74, 14 28 8.65, 12 33 3.61, 12 61 0.88, 1 50 2.01, 4 53 0.89, 16 51 5.35, 9 23 1.24, 9 24 2.81, ,,,,,,,,,,,,,,,,,,,,,
10 59 1.92, 14 32 16.68, 14 34 9.28, 18 55 5.1, 13 56 1.58, 13 46 1.75, 13 39 1.65, 8 44 4.53, 8 50 0.68, 8 53 2.46, 6 19 0.8, 6 32 1.7, 17 18 10.35, 16 43 6.12, 5 13 2.45, 5 10 3.9, 5 13 3.54, ,,,,,,,,,,,,,,
14 22 3.65, 7 10 1.31, 7 15 1.55, 7 11 0.43, 16 39 1.12, 9 17 8.22, 9 23 7.55, 9 28 4.06, 2 73 1.06, 2 76 0.27, 2 55 3.55, 2 44 0.38, 5 14 4.01, ,,,,,,,,,,,,,,,,,,
10 40 5.49, 14 51 3.08, 12 47 3.04, 12 76 3.65, 12 60 1.53, 12 74 7.76, 12 65 2.79, 13 23 0.92, 13 51 1.95, 13 62 1.79, 15 35 2.0, 15 34 2.83, 15 34 0.88, 8 39 4.15, 6 39 1.29, 6 52 3.07, 6 52 0.92, 17 6 4.14, 17 35 8.01, 17 28 8.75, 2 47 12.7, ,,,,,,,,,,
 3 4 0.38, 3 34 4.97, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 48 6.06, 14 44 12.57, 14 22 8.76, 14 32 0.55, 14 43 8.31, 14 30 13.02, 12 46 0.79, 1 39 1.38, 1 20 0.95, 1 27 1.94, 13 56 0.81, 7 5 7.3, 13 46 2.15, 13 54 1.74, 13 42 0.79, 13 32 1.91, 15 28 1.13, 4 52 2.23, 16 44 4.08, 16 40 4.33, 9 13 0.38, 2 66 7.52, 2 91 5.68, 2 30 4.04, 2 71 11.08, 11 32 6.04, 11 22 10.16, 11 24 6.37, 11 33 5.95, 11 26 12.25, ,
14 20 2.94, 12 61 3.29, 1 30 2.56, 1 22 2.18, 1 40 2.84, 7 10 0.77, 7 9 2.34, 13 41 0.29, 13 37 1.32, 4 75 2.55, 4 62 3.12, 16 49 1.29, 16 22 1.67, 9 31 9.99, 9 21 7.01, 2 81 4.43, 2 68 3.13, ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 18 49 6.51, 18 36 9.86, 18 28 1.71, 12 43 6.28, 1 26 0.37, 1 36 0.54, ,,,,,,,,,,,,,,,,,,,,,,,,,
10 41 1.18, 14 36 4.59, 14 23 2.15, 14 14 4.89, 18 43 0.2, 13 34 0.6, 7 9 3.19, 13 25 1.2, 15 21 2.73, 6 22 1.06, 6 27 1.12, 6 28 1.88, 6 25 1.3, 6 23 1.57, 17 25 1.74, 15 20 4.78, 15 17 2.5, 6 28 1.47, 6 21 1.35, 17 31 4.29, 17 24 1.16, 17 19 1.26, 17 19 1.15, 17 27 0.73, 17 35 1.45, 17 40 1.79, 17 20 1.14, 17 27 2.86, 17 23 3.11, 17 18 0.51, 9 25 8.76, 9 21 11.42
12 29 6.96, 12 39 8.06, 1 33 1.75, 13 71 2.44, 15 25 0.18, 15 15 1.6, 8 63 3.29, 8 63 4.35, 8 44 2.39, 8 58 2.52, 6 17 0.43, 6 24 1.15, 6 25 0.91, 6 24 1.42, 6 18 1.37, 6 27 1.38, 17 22 2.18, 6 11 3.11, 6 25 1.67, 15 29 0.94, 15 27 1.5, 6 30 0.83, 4 49 3.89, 9 23 2.98, 11 25 1.96, 11 28 1.92, 11 29 2.01, 3 44 6.42, ,,,
10 21 4.43, 10 35 4.02, 14 68 16.16, 18 55 5.21, 1 45 1.29, 1 49 1.23, 1 118 0.83, 13 57 1.77, 10 49 5.27, 14 43 8.11, 12 50 4.11, 12 36 1.8, 12 64 6.21, 12 58 6.02, 1 127 0.97, 7 48 2.96, 13 45 2.21, 13 56 2.05, 13 33 1.41, 15 24 1.49, 8 33 4.57, 17 41 5.76, 17 33 3.21, 17 30 10.24, 15 44 1.57, 8 20 3.86, 8 35 6.46, 4 44 4.52, 16 50 7.2, 2 54 12.02, 2 36 10.38, 5 26 3.83
10 52 1.91, 18 41 0.53, 18 35 4.63, 18 53 6.53, 18 59 6.76, 18 64 7.66, 1 33 1.1, 1 23 1.54, 7 13 1.4, 2 62 5.7, 11 24 5.64, 5 12 3.2, 5 6 2.29, 3 40 4.46, 3 50 7.81, ,,,,,,,,,,,,,,,,
10 25 1.16, 10 27 0.64, 14 49 1.43, 18 30 0.89, 18 55 1.82, 12 52 2.37, 1 38 1.43, 1 88 1.19, 15 32 2.34, 15 33 3.98, 15 42 2.41, 15 29 1.9, 17 35 2.37, 2 76 1.92, 11 21 1.14, 5 30 3.26, 5 24 2.47, 3 55 2.57, 3 36 0.15, ,,,,,,,,,,,,
10 24 8.34, 15 37 0.56, 8 30 2.18, 6 42 1.28, 6 37 1.8, 6 47 0.88, 4 49 2.68, 16 67 4.83, 16 51 7.79, 16 61 4.78, 16 66 3.17, 16 49 3.14, 16 65 5.35, 9 69 0.95, 1 80 1.03, 7 42 0.7, 7 36 8.4, 13 60 0.27, 6 72 1.51, 6 58 1.11, 6 57 1.02, 6 33 1.76, 6 57 2.22, 4 37 2.77, 4 89 2.08, 16 50 3.79, 16 42 2.35, 16 62 5.56, 9 91 2.03, 9 63 1.11, 9 122 2.42, 2 37 11.97
 2 47 5.94, 3 57 3.88, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 45 5.43, 10 33 6.79, 10 31 9.45, 10 40 2.69, 10 42 2.48, 15 22 2.04, 8 27 3.64, 17 23 4.1, 15 24 4.78, 15 27 1.2, 8 53 3.76, 6 20 0.78, 6 31 1.15, 6 22 1.27, 6 26 1.48, 17 17 3.72, 17 26 5.83, 17 35 4.44, 16 32 4.63, 2 56 9.36, 2 86 13.71, 11 18 10.16, 3 26 4.98, ,,,,,,,,
10 20 9.91, 14 50 3.65, 14 20 12.12, 14 51 14.14, 12 68 5.2, 12 38 7.74, 12 55 5.03, 12 60 4.25, 12 52 2.53, 1 53 0.77, 7 30 3.22, 13 47 2.17, 15 64 4.11, 15 57 2.45, 6 66 1.01, 17 48 4.4, 3 55 4.78, ,,,,,,,,,,,,,,
